City,Price,Number_Beds,Number_Baths,Median_Family_Income
Toronto,598000.0,1,1,97000.0
Toronto,588000.0,3,2,97000.0
Toronto,5999999.0,5,5,97000.0
Toronto,1800000.0,4,3,97000.0
Toronto,659900.0,2,2,97000.0
Toronto,1000000.0,3,2,97000.0
Toronto,1094000.0,2,2,97000.0
Toronto,1250000.0,4,2,97000.0
Toronto,1300000.0,4,3,97000.0
Toronto,698000.0,2,1,97000.0
Toronto,1649000.0,2,3,97000.0
Toronto,1079000.0,3,2,97000.0
Toronto,2149000.0,4,3,97000.0
Toronto,932900.0,3,2,97000.0
Toronto,680000.0,2,2,97000.0
Toronto,2399000.0,3,4,97000.0
Toronto,569900.0,2,1,97000.0
Toronto,678000.0,2,1,97000.0
Toronto,1899000.0,4,3,97000.0
Toronto,729000.0,2,1,97000.0
Toronto,3349000.0,5,5,97000.0
Toronto,749000.0,1,1,97000.0
Toronto,1275000.0,2,2,97000.0
Toronto,8688000.0,6,7,97000.0
Toronto,619000.0,1,1,97000.0
Toronto,524999.0,3,1,97000.0
Toronto,599999.0,2,1,97000.0
Toronto,1595900.0,2,3,97000.0
Toronto,1975000.0,3,2,97000.0
Toronto,1399000.0,3,2,97000.0
Toronto,1099000.0,4,2,97000.0
Toronto,559900.0,1,1,97000.0
Toronto,845000.0,2,2,97000.0
Toronto,2698000.0,4,4,97000.0
Toronto,2998000.0,4,5,97000.0
Toronto,749900.0,2,2,97000.0
Toronto,725000.0,3,2,97000.0
Toronto,1199900.0,4,3,97000.0
Toronto,839999.0,2,1,97000.0
Toronto,999900.0,4,3,97000.0
Toronto,929000.0,4,2,97000.0
Toronto,1480000.0,5,5,97000.0
Toronto,1129000.0,4,2,97000.0
Toronto,942000.0,1,1,97000.0
Toronto,925000.0,3,1,97000.0
Toronto,769900.0,2,2,97000.0
Toronto,1699000.0,4,3,97000.0
Toronto,695000.0,2,1,97000.0
Toronto,1019000.0,2,2,97000.0
Toronto,658000.0,2,1,97000.0
Toronto,688000.0,1,1,97000.0
Toronto,949900.0,3,2,97000.0
Toronto,489900.0,1,1,97000.0
Toronto,669800.0,2,2,97000.0
Toronto,1579900.0,5,4,97000.0
Toronto,939000.0,2,2,97000.0
Toronto,860000.0,2,2,97000.0
Toronto,658000.0,1,1,97000.0
Toronto,3450000.0,4,4,97000.0
Toronto,649000.0,2,1,97000.0
Toronto,3849000.0,4,6,97000.0
Toronto,2999000.0,5,4,97000.0
Toronto,898000.0,2,2,97000.0
Toronto,7995000.0,5,6,97000.0
Toronto,639900.0,1,1,97000.0
Toronto,584000.0,2,1,97000.0
Toronto,1199900.0,2,3,97000.0
Toronto,919900.0,2,2,97000.0
Toronto,1428000.0,2,2,97000.0
Toronto,12750000.0,5,8,97000.0
Toronto,1575000.0,4,2,97000.0
Toronto,699000.0,3,2,97000.0
Toronto,988000.0,2,1,97000.0
Toronto,1379900.0,4,2,97000.0
Toronto,2549000.0,4,4,97000.0
Toronto,744999.0,2,1,97000.0
Toronto,1849000.0,3,2,97000.0
Toronto,989000.0,3,2,97000.0
Toronto,850000.0,3,3,97000.0
Toronto,4336900.0,3,4,97000.0
Toronto,1329999.0,4,2,97000.0
Toronto,1399900.0,3,3,97000.0
Toronto,657999.0,2,1,97000.0
Toronto,999000.0,4,1,97000.0
Toronto,949000.0,3,2,97000.0
Toronto,3249000.0,6,5,97000.0
Toronto,2850000.0,5,4,97000.0
Toronto,719900.0,2,1,97000.0
Toronto,804800.0,2,2,97000.0
Toronto,1399000.0,4,3,97000.0
Toronto,999000.0,4,3,97000.0
Toronto,949000.0,4,2,97000.0
Toronto,899000.0,3,3,97000.0
Toronto,749000.0,3,2,97000.0
Toronto,1799000.0,3,3,97000.0
Toronto,1588000.0,5,5,97000.0
Toronto,648800.0,1,1,97000.0
Toronto,3249000.0,6,4,97000.0
Toronto,795000.0,2,1,97000.0
Toronto,999000.0,2,1,97000.0
Toronto,995900.0,2,2,97000.0
Toronto,789000.0,2,2,97000.0
Toronto,575000.0,1,1,97000.0
Toronto,1799000.0,3,2,97000.0
Toronto,679900.0,2,1,97000.0
Toronto,499999.0,2,1,97000.0
Toronto,758000.0,2,1,97000.0
Toronto,1338000.0,1,1,97000.0
Toronto,2199000.0,11,4,97000.0
Toronto,1279900.0,6,3,97000.0
Toronto,3598000.0,9,5,97000.0
Toronto,2285000.0,4,4,97000.0
Toronto,1859000.0,3,3,97000.0
Toronto,619000.0,2,1,97000.0
Toronto,968000.0,3,2,97000.0
Toronto,1649000.0,4,4,97000.0
Toronto,1089000.0,2,2,97000.0
Toronto,848000.0,3,2,97000.0
Toronto,949000.0,3,1,97000.0
Toronto,1039900.0,4,2,97000.0
Toronto,1049000.0,4,3,97000.0
Toronto,645000.0,1,1,97000.0
Toronto,539000.0,1,1,97000.0
Toronto,679800.0,2,2,97000.0
Toronto,610000.0,1,1,97000.0
Toronto,874000.0,2,2,97000.0
Toronto,1988000.0,3,2,97000.0
Toronto,888000.0,2,1,97000.0
Toronto,1188000.0,3,2,97000.0
Toronto,899880.0,2,2,97000.0
Toronto,1895000.0,3,2,97000.0
Toronto,529000.0,1,1,97000.0
Toronto,1599900.0,6,3,97000.0
Toronto,679900.0,2,2,97000.0
Toronto,2159000.0,4,3,97000.0
Toronto,1975000.0,5,5,97000.0
Toronto,1129000.0,2,2,97000.0
Toronto,1147000.0,3,2,97000.0
Toronto,969900.0,2,3,97000.0
Toronto,1499990.0,4,3,97000.0
Toronto,989900.0,5,2,97000.0
Toronto,899900.0,2,1,97000.0
Toronto,579000.0,1,1,97000.0
Toronto,675000.0,2,2,97000.0
Toronto,574900.0,2,1,97000.0
Toronto,1950000.0,4,2,97000.0
Toronto,2000000.0,5,3,97000.0
Toronto,1989000.0,5,4,97000.0
Toronto,1289000.0,3,2,97000.0
Toronto,999888.0,3,3,97000.0
Toronto,949000.0,4,1,97000.0
Toronto,2095000.0,1,1,97000.0
Toronto,499000.0,4,3,97000.0
Toronto,1049900.0,3,3,97000.0
Toronto,1048000.0,2,1,97000.0
Toronto,749900.0,4,4,97000.0
Toronto,1699000.0,3,2,97000.0
Toronto,500000.0,2,2,97000.0
